## blobtools v1.0
## assembly	: /p200/wuzhy_group/luobw/data/jellywasp/1_blobtools/3_bwa_pilon/s2_pilon/pilon1.fasta
## coverage	: bam0 - /p200/wuzhy_group/luobw/data/jellywasp/1_blobtools/4_mapping_to_polished_contig/minimap2_pacbio/pacbio_raw.vs.pilon1.bam
## taxonomy	: tax0 - /p200/wuzhy_group/luobw/data/jellywasp/1_blobtools/5_blast_polished_contig/10hit_blast_result/10_hits_all.out
## nodesDB	: /p200/wuzhy_group/luobw/software/blobtools-master/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
ctg1|arrow|pilon	13851714	0.3194	0	60.77	Arthropoda	29854.0	0
ctg2|arrow|pilon	27651250	0.2986	0	62.361	Arthropoda	39242.0	0
ctg3|arrow|pilon	9848562	0.3229	0	60.977	Arthropoda	27607.0	0
ctg4|arrow|pilon	13311808	0.3327	0	61.458	Arthropoda	36826.0	0
ctg5|arrow|pilon	20491953	0.3023	0	63.114	Arthropoda	27716.0	0
ctg6|arrow|pilon	21240843	0.3253	0	61.513	Arthropoda	41951.0	0
ctg7|arrow|pilon	7888811	0.2728	0	63.543	Arthropoda	27901.0	0
ctg8|arrow|pilon	9570020	0.3097	0	62.334	Arthropoda	30770.0	0
ctg9|arrow|pilon	11878451	0.3279	0	60.738	Arthropoda	25386.0	0
ctg10|arrow|pilon	6771950	0.353	0	60.83	Arthropoda	29672.0	0
ctg11|arrow|pilon	15112705	0.3302	0	61.261	Arthropoda	78989.0	0
ctg12|arrow|pilon	15129703	0.3129	0	61.982	Arthropoda	26180.0	0
ctg13|arrow|pilon	18306331	0.2852	0	62.895	Arthropoda	21973.0	0
ctg14|arrow|pilon	5700705	0.3482	0	61.9	Arthropoda	35278.0	0
ctg15|arrow|pilon	27072471	0.2817	0	63.802	Arthropoda	30512.0	0
ctg16|arrow|pilon	6801905	0.6763	0	87.441	Proteobacteria	59065613.0	1
ctg17|arrow|pilon	4130014	0.3094	0	63.149	Arthropoda	72647.0	0
ctg18|arrow|pilon	13588613	0.2809	0	63.018	Arthropoda	20833.0	0
ctg19|arrow|pilon	4795225	0.5421	0	56.742	Proteobacteria	26210084.0	0
ctg20|arrow|pilon	3455062	0.593	0	75.553	Proteobacteria	44400344.0	0
ctg21|arrow|pilon	2975796	0.6706	0	47.91	Proteobacteria	40186297.0	0
ctg22|arrow|pilon	2934058	0.2702	0	65.06	Arthropoda	10071.0	0
ctg23|arrow|pilon	3637676	0.6669	0	45.907	Proteobacteria	46208342.0	0
ctg24|arrow|pilon	4849390	0.2671	0	63.031	Arthropoda	18369.0	0
ctg25|arrow|pilon	4433785	0.273	0	61.98	Arthropoda	23824.0	0
ctg26|arrow|pilon	4741429	0.2641	0	63.53	Arthropoda	16131.0	0
ctg27|arrow|pilon	5952328	0.2693	0	62.809	Arthropoda	34182.0	0
ctg28|arrow|pilon	2340241	0.6011	0	40.316	Proteobacteria	4367615.0	0
ctg29|arrow|pilon	2366659	0.3115	0	63.048	Arthropoda	17254.0	0
ctg30|arrow|pilon	2383787	0.3097	0	62.375	Arthropoda	15926.0	0
ctg31|arrow|pilon	2693669	0.3221	0	61.049	Arthropoda	30960.0	0
ctg32|arrow|pilon	3923778	0.378	0	57.998	Arthropoda	27297.0	0
ctg33|arrow|pilon	2025596	0.6087	0	39.379	Proteobacteria	9897823.0	0
ctg34|arrow|pilon	7055780	0.28	0	63.099	Arthropoda	16183.0	0
ctg35|arrow|pilon	1990835	0.5915	0	82.235	Proteobacteria	26568952.0	0
ctg36|arrow|pilon	2006532	0.3084	0	63.396	Arthropoda	25528.0	0
ctg37|arrow|pilon	2451804	0.2594	0	60.557	Arthropoda	20952.0	0
ctg38|arrow|pilon	1710618	0.269	0	62.522	Arthropoda	5407.0	1
ctg39|arrow|pilon	2879527	0.6005	0	209.972	Proteobacteria	22717944.0	0
ctg40|arrow|pilon	1617201	0.3475	0	60.406	Arthropoda	16215.0	0
ctg41|arrow|pilon	1542711	0.2667	0	62.898	Arthropoda	10341.0	2
ctg42|arrow|pilon	2657042	0.2659	0	61.009	Arthropoda	19153.0	0
ctg43|arrow|pilon	2624135	0.2538	0	64.055	Arthropoda	12001.0	0
ctg44|arrow|pilon	1361023	0.5994	0	36.041	Proteobacteria	6536686.0	0
ctg45|arrow|pilon	2469671	0.2755	0	62.976	Arthropoda	14985.0	0
ctg46|arrow|pilon	1271998	0.2664	0	66.535	Arthropoda	16671.0	0
ctg47|arrow|pilon	1351337	0.2733	0	61.604	Arthropoda	25648.0	0
ctg48|arrow|pilon	5321960	0.2879	0	64.299	Arthropoda	14256.0	0
ctg49|arrow|pilon	1784839	0.2747	0	63.064	Arthropoda	16372.0	0
ctg50|arrow|pilon	1039403	0.2689	0	66.156	Proteobacteria	5377.0	0
ctg51|arrow|pilon	850052	0.6731	0	46.964	Proteobacteria	10314265.0	0
ctg52|arrow|pilon	2215914	0.2734	0	62.443	Arthropoda	21415.0	0
ctg53|arrow|pilon	2161194	0.2702	0	62.507	Arthropoda	47977.0	0
ctg54|arrow|pilon	1596194	0.2777	0	59.479	Arthropoda	30849.0	0
ctg55|arrow|pilon	1550304	0.2742	0	62.321	Arthropoda	19820.0	0
ctg56|arrow|pilon	801370	0.6017	0	204.208	Proteobacteria	5391300.0	0
ctg57|arrow|pilon	641224	0.5452	0	53.47	Proteobacteria	865459.0	0
ctg58|arrow|pilon	1544814	0.6614	0	42.976	Actinobacteria	1218639.0	0
ctg59|arrow|pilon	537364	0.669	0	45.335	Actinobacteria	511349.0	0
ctg60|arrow|pilon	497908	0.6603	0	48.07	Actinobacteria	236051.0	0
ctg61|arrow|pilon	486215	0.6683	0	49.915	Actinobacteria	406476.0	0
ctg62|arrow|pilon	793725	0.2812	0	63.255	Arthropoda	11030.0	0
ctg63|arrow|pilon	932981	0.6032	0	208.772	Proteobacteria	6429987.0	0
ctg64|arrow|pilon	482831	0.5977	0	198.994	Proteobacteria	4293167.0	0
ctg65|arrow|pilon	442073	0.2768	0	107.468	Arthropoda	14950.0	0
ctg66|arrow|pilon	350528	0.6056	0	41.403	Proteobacteria	1114742.0	0
ctg67|arrow|pilon	382558	0.5978	0	191.512	Proteobacteria	2969485.0	1
ctg68|arrow|pilon	344762	0.2881	0	56.362	Proteobacteria	6128.0	1
ctg69|arrow|pilon	442873	0.6013	0	197.807	Proteobacteria	2952884.0	0
ctg70|arrow|pilon	438699	0.6894	0	16.318	Proteobacteria	2284674.0	0
ctg71|arrow|pilon	284641	0.6615	0	51.785	Actinobacteria	148853.0	0
ctg72|arrow|pilon	264795	0.5362	0	55.059	Proteobacteria	397430.0	0
ctg73|arrow|pilon	1382185	0.6844	0	13.472	Proteobacteria	6736544.0	0
ctg74|arrow|pilon	297568	0.2588	0	77.089	Arthropoda	3491.0	0
ctg75|arrow|pilon	261003	0.6106	0	43.745	Proteobacteria	743209.0	0
ctg76|arrow|pilon	600086	0.2678	0	62.141	Arthropoda	18082.0	0
ctg77|arrow|pilon	259653	0.5977	0	215.174	Proteobacteria	1815552.0	0
ctg78|arrow|pilon	200131	0.2545	0	70.559	Arthropoda	15116.0	0
ctg79|arrow|pilon	732604	0.694	0	14.353	Proteobacteria	3778106.0	0
ctg80|arrow|pilon	276397	0.665	0	45.68	Actinobacteria	341325.0	0
ctg81|arrow|pilon	180726	0.2435	0	72.055	Arthropoda	6589.0	0
ctg82|arrow|pilon	164433	0.4476	0	68.288	Proteobacteria	1891.0	0
ctg83|arrow|pilon	170428	0.6874	0	17.448	Proteobacteria	259917.0	0
ctg84|arrow|pilon	150170	0.2674	0	61.004	Arthropoda	2378.0	0
ctg85|arrow|pilon	168977	0.6988	0	17.939	Proteobacteria	376330.0	0
ctg86|arrow|pilon	397063	0.6693	0	15.066	Proteobacteria	1752613.0	0
ctg87|arrow|pilon	140350	0.2799	0	63.757	Arthropoda	3453.0	0
ctg88|arrow|pilon	419088	0.6863	0	18.699	Proteobacteria	1399919.0	0
ctg89|arrow|pilon	139817	0.3324	0	14.645	Eukaryota-undef	10221.0	0
ctg90|arrow|pilon	325699	0.3342	0	18.311	Arthropoda	1137.0	4
ctg91|arrow|pilon	127859	0.5651	0	120.071	Proteobacteria	169519.0	0
ctg92|arrow|pilon	259018	0.3291	0	12.145	Ascomycota	2669.0	2
ctg93|arrow|pilon	242443	0.6801	0	9.551	Proteobacteria	515912.0	0
ctg94|arrow|pilon	117842	0.5884	0	30.588	Proteobacteria	45856.0	1
ctg95|arrow|pilon	125781	0.5645	0	96.144	Proteobacteria	232483.0	1
ctg96|arrow|pilon	119093	0.3257	0	13.033	Proteobacteria	2310.0	0
ctg97|arrow|pilon	550369	0.6832	0	15.401	Proteobacteria	2501527.0	0
ctg98|arrow|pilon	299349	0.3302	0	15.011	Proteobacteria	1477.0	0
ctg99|arrow|pilon	299684	0.7009	0	12.992	Proteobacteria	1442935.0	0
ctg100|arrow|pilon	367872	0.3317	0	11.841	Eukaryota-undef	8958.0	1
ctg101|arrow|pilon	216809	0.6961	0	13.301	Proteobacteria	1093431.0	0
ctg102|arrow|pilon	171384	0.3295	0	11.282	Arthropoda	1750.0	2
ctg103|arrow|pilon	626164	0.3263	0	10.995	Ascomycota	1324.0	2
ctg104|arrow|pilon	107230	0.3294	0	13.651	no-hit	0.0	0
ctg105|arrow|pilon	153537	0.3386	0	9.76	Proteobacteria	1796.0	0
ctg106|arrow|pilon	217280	0.694	0	17.498	Proteobacteria	931315.0	0
ctg107|arrow|pilon	102675	0.5813	0	141.688	Proteobacteria	158655.0	0
ctg108|arrow|pilon	254494	0.6886	0	15.644	Proteobacteria	969526.0	0
ctg109|arrow|pilon	169035	0.3227	0	12.407	no-hit	0.0	0
ctg110|arrow|pilon	196830	0.3198	0	20.7	Arthropoda	3260.0	1
ctg111|arrow|pilon	292146	0.3251	0	10.721	Ascomycota	980.0	3
ctg112|arrow|pilon	180592	0.3341	0	23.676	no-hit	0.0	0
ctg113|arrow|pilon	174866	0.3294	0	12.053	no-hit	0.0	0
ctg114|arrow|pilon	117890	0.3264	0	11.746	no-hit	0.0	0
ctg115|arrow|pilon	160917	0.3322	0	11.804	no-hit	0.0	0
ctg116|arrow|pilon	240366	0.6908	0	11.781	Proteobacteria	1379827.0	0
ctg117|arrow|pilon	301628	0.3293	0	11.902	Arthropoda	159.0	0
ctg118|arrow|pilon	100343	0.2475	0	59.009	Arthropoda	9079.0	0
ctg119|arrow|pilon	152397	0.7076	0	13.423	Proteobacteria	692566.0	0
ctg120|arrow|pilon	173798	0.628	0	14.134	Proteobacteria	31947.0	0
ctg121|arrow|pilon	343356	0.6896	0	15.461	Proteobacteria	1198173.0	0
ctg122|arrow|pilon	84338	0.6959	0	15.916	Proteobacteria	370788.0	0
ctg123|arrow|pilon	209368	0.6825	0	15.373	Proteobacteria	525892.0	0
ctg124|arrow|pilon	181353	0.3329	0	11.971	no-hit	0.0	0
ctg125|arrow|pilon	116048	0.3349	0	13.233	Ascomycota	1645.0	3
ctg126|arrow|pilon	96227	0.6908	0	12.131	Proteobacteria	679745.0	0
ctg127|arrow|pilon	165774	0.6933	0	16.361	Proteobacteria	260506.0	0
ctg128|arrow|pilon	255944	0.6522	0	11.35	Proteobacteria	202632.0	0
ctg129|arrow|pilon	235525	0.6929	0	15.88	Proteobacteria	821001.0	0
ctg130|arrow|pilon	89043	0.5033	0	72.276	Proteobacteria	125519.0	0
ctg131|arrow|pilon	283988	0.6859	0	12.639	Proteobacteria	1013149.0	0
ctg132|arrow|pilon	144810	0.3243	0	12.104	no-hit	0.0	0
ctg133|arrow|pilon	99746	0.3387	0	13.983	no-hit	0.0	0
ctg134|arrow|pilon	66607	0.6382	0	38.546	Actinobacteria	25910.0	0
ctg135|arrow|pilon	382161	0.3299	0	12.361	Basidiomycota	956.0	4
ctg136|arrow|pilon	92237	0.5786	0	21.739	Proteobacteria	782405.0	0
ctg137|arrow|pilon	139697	0.6944	0	12.055	Proteobacteria	98487.0	0
ctg138|arrow|pilon	265224	0.3319	0	11.07	Ascomycota	1620.0	1
ctg139|arrow|pilon	68524	0.3363	0	19.787	no-hit	0.0	0
ctg140|arrow|pilon	158396	0.339	0	12.079	Proteobacteria	391.0	0
ctg141|arrow|pilon	71725	0.6949	0	10.343	Proteobacteria	398478.0	0
ctg142|arrow|pilon	91235	0.3275	0	10.451	no-hit	0.0	0
ctg143|arrow|pilon	135916	0.3283	0	10.223	no-hit	0.0	0
ctg144|arrow|pilon	197887	0.3262	0	11.8	Ascomycota	747.0	1
ctg145|arrow|pilon	141322	0.6959	0	17.126	Proteobacteria	457215.0	0
ctg146|arrow|pilon	77735	0.3223	0	13.131	no-hit	0.0	0
ctg147|arrow|pilon	142263	0.3255	0	16.598	no-hit	0.0	0
ctg148|arrow|pilon	69067	0.3334	0	13.062	no-hit	0.0	0
ctg149|arrow|pilon	430083	0.3279	0	12.057	Chytridiomycota	629.0	1
ctg150|arrow|pilon	136158	0.6917	0	14.581	Proteobacteria	558031.0	0
ctg151|arrow|pilon	240140	0.5657	0	18.92	Proteobacteria	1758918.0	0
ctg152|arrow|pilon	242063	0.335	0	11.328	Streptophyta	2171.0	0
ctg153|arrow|pilon	348726	0.6884	0	13.53	Proteobacteria	1893976.0	0
ctg154|arrow|pilon	126467	0.678	0	10.202	Proteobacteria	336053.0	0
ctg155|arrow|pilon	66089	0.5276	0	88.466	Proteobacteria	34518.0	0
ctg156|arrow|pilon	135909	0.6951	0	17.511	Proteobacteria	505592.0	0
ctg157|arrow|pilon	64104	0.3469	0	20.023	no-hit	0.0	0
ctg158|arrow|pilon	77746	0.3327	0	10.338	no-hit	0.0	0
ctg159|arrow|pilon	73581	0.3329	0	19.746	no-hit	0.0	0
ctg160|arrow|pilon	172605	0.6729	0	9.784	Proteobacteria	310135.0	0
ctg161|arrow|pilon	235989	0.328	0	12.221	no-hit	0.0	0
ctg162|arrow|pilon	144342	0.331	0	13.907	Proteobacteria	3802.0	0
ctg163|arrow|pilon	144174	0.6657	0	10.739	no-hit	0.0	0
ctg164|arrow|pilon	245856	0.6748	0	9.95	no-hit	0.0	0
ctg165|arrow|pilon	100204	0.6819	0	11.223	no-hit	0.0	0
ctg166|arrow|pilon	318119	0.3298	0	11.315	no-hit	0.0	0
ctg167|arrow|pilon	94079	0.3262	0	12.447	no-hit	0.0	0
ctg168|arrow|pilon	58975	0.6958	0	16.546	no-hit	0.0	0
ctg169|arrow|pilon	59698	0.6052	0	45.72	no-hit	0.0	0
ctg170|arrow|pilon	58495	0.5161	0	49.44	no-hit	0.0	0
ctg171|arrow|pilon	147740	0.3313	0	10.68	no-hit	0.0	0
ctg172|arrow|pilon	240472	0.6896	0	12.08	no-hit	0.0	0
ctg173|arrow|pilon	60761	0.7072	0	12.676	no-hit	0.0	0
ctg174|arrow|pilon	376672	0.3217	0	12.145	no-hit	0.0	0
ctg175|arrow|pilon	83351	0.3296	0	12.288	no-hit	0.0	0
ctg176|arrow|pilon	218270	0.6757	0	11.602	no-hit	0.0	0
ctg177|arrow|pilon	127405	0.3261	0	9.573	no-hit	0.0	0
ctg178|arrow|pilon	203181	0.2524	0	79.176	no-hit	0.0	0
ctg179|arrow|pilon	261131	0.3242	0	11.121	no-hit	0.0	0
ctg180|arrow|pilon	103150	0.322	0	9.788	no-hit	0.0	0
ctg181|arrow|pilon	74666	0.6073	0	20.861	Proteobacteria	709958.0	0
ctg182|arrow|pilon	71436	0.6649	0	14.88	Proteobacteria	168170.0	0
ctg183|arrow|pilon	100704	0.6949	0	10.936	Proteobacteria	361705.0	0
ctg184|arrow|pilon	265058	0.6856	0	15.262	Proteobacteria	953954.0	0
ctg185|arrow|pilon	90238	0.5488	0	88.245	Proteobacteria	254842.0	0
ctg186|arrow|pilon	48488	0.6006	0	83.643	Proteobacteria	35832.0	0
ctg187|arrow|pilon	82494	0.3321	0	13.701	no-hit	0.0	0
ctg188|arrow|pilon	120486	0.6727	0	23.424	Proteobacteria	312454.0	0
ctg189|arrow|pilon	112960	0.3305	0	14.144	no-hit	0.0	0
ctg190|arrow|pilon	74826	0.3258	0	11.9	no-hit	0.0	0
ctg191|arrow|pilon	52106	0.5831	0	24.894	Proteobacteria	25984.0	1
ctg192|arrow|pilon	55276	0.7008	0	14.278	Proteobacteria	381008.0	0
ctg193|arrow|pilon	105336	0.3288	0	13.783	Proteobacteria	2299.0	0
ctg194|arrow|pilon	48698	0.5167	0	34.089	Proteobacteria	138761.0	0
ctg195|arrow|pilon	77220	0.3283	0	10.224	Ascomycota	3778.0	1
ctg196|arrow|pilon	49929	0.6675	0	8.831	Proteobacteria	19178.0	0
ctg197|arrow|pilon	115682	0.3321	0	10.78	no-hit	0.0	0
ctg198|arrow|pilon	149442	0.3327	0	10.886	no-hit	0.0	0
ctg199|arrow|pilon	53546	0.3282	0	13.872	no-hit	0.0	0
ctg200|arrow|pilon	91164	0.332	0	10.553	Ascomycota	2069.0	0
ctg201|arrow|pilon	86005	0.336	0	10.102	Streptophyta	1431.0	1
ctg202|arrow|pilon	94337	0.3315	0	13.893	no-hit	0.0	0
ctg203|arrow|pilon	76859	0.3329	0	11.684	no-hit	0.0	0
ctg204|arrow|pilon	207502	0.3326	0	12.695	Ascomycota	1271.0	3
ctg205|arrow|pilon	54040	0.6749	0	15.046	Proteobacteria	54597.0	0
ctg206|arrow|pilon	73684	0.3373	0	10.176	Proteobacteria	2146.0	1
ctg207|arrow|pilon	58409	0.6367	0	8.869	Proteobacteria	396805.0	0
ctg208|arrow|pilon	47957	0.3346	0	33.612	no-hit	0.0	0
ctg209|arrow|pilon	44373	0.6668	0	14.917	Proteobacteria	53596.0	1
ctg210|arrow|pilon	219797	0.3252	0	11.046	no-hit	0.0	0
ctg211|arrow|pilon	46538	0.6171	0	11.848	Proteobacteria	29931.0	0
ctg212|arrow|pilon	92445	0.33	0	8.731	Proteobacteria	3187.0	0
ctg213|arrow|pilon	69201	0.5755	0	16.088	Proteobacteria	503513.0	0
ctg214|arrow|pilon	248417	0.6817	0	9.7	Proteobacteria	519474.0	0
ctg215|arrow|pilon	127751	0.3236	0	10.804	no-hit	0.0	0
ctg216|arrow|pilon	43710	0.3278	0	10.824	no-hit	0.0	0
ctg217|arrow|pilon	128238	0.3365	0	12.827	Proteobacteria	5933.0	0
ctg218|arrow|pilon	42250	0.6466	0	9.747	Proteobacteria	233331.0	0
ctg219|arrow|pilon	45237	0.5865	0	21.18	Proteobacteria	404064.0	0
ctg220|arrow|pilon	54928	0.3323	0	13.861	no-hit	0.0	0
ctg221|arrow|pilon	225599	0.3388	0	25.334	no-hit	0.0	0
ctg222|arrow|pilon	41760	0.5886	0	17.52	Proteobacteria	366621.0	0
ctg223|arrow|pilon	241433	0.3339	0	11.506	no-hit	0.0	0
ctg224|arrow|pilon	72459	0.3332	0	12.692	Eukaryota-undef	292.0	0
ctg225|arrow|pilon	64732	0.6726	0	10.681	Proteobacteria	41286.0	0
ctg226|arrow|pilon	103292	0.5668	0	99.979	Proteobacteria	468861.0	0
ctg227|arrow|pilon	159435	0.5825	0	20.925	Proteobacteria	1563501.0	0
ctg228|arrow|pilon	151057	0.3278	0	9.61	no-hit	0.0	0
ctg229|arrow|pilon	106156	0.3366	0	10.103	Ascomycota	890.0	2
ctg230|arrow|pilon	111713	0.6688	0	11.44	Proteobacteria	283875.0	0
ctg231|arrow|pilon	170995	0.328	0	11.388	no-hit	0.0	0
